iter	Passed	Remaining
403	10890	8760
404	10928	8743
405	10965	8723
406	11001	8704
407	11031	8679
408	11057	8651
409	11084	8623
410	11107	8593
411	11136	8568
412	11161	8539
413	11194	8517
414	11222	8491
415	11247	8462
416	11273	8434
417	11298	8406
418	11324	8378
419	11350	8350
420	11376	8322
421	11403	8295
422	11427	8266
423	11452	8238
424	11478	8210
425	11506	8184
426	11531	8155
427	11555	8126
428	11584	8101
429	11609	8072
430	11636	8045
431	11661	8017
432	11688	7990
433	11719	7965
434	11744	7937
435	11770	7909
436	11796	7882
437	11821	7854
438	11849	7827
439	11873	7798
440	11905	7774
441	11930	7746
442	11954	7717
443	11985	7693
444	12009	7664
445	12034	7636
446	12059	7608
447	12085	7580
448	12110	7552
449	12137	7525
450	12165	7498
451	12191	7471
452	12216	7442
453	12239	7413
454	12265	7386
455	12296	7361
456	12322	7334
457	12347	7306
458	12377	7280
459	12401	7252
460	12426	7224
461	12450	7195
462	12476	7167
463	12501	7139
464	12527	7112
465	12553	7085
466	12579	7057
467	12604	7029
468	12629	7001
469	12658	6975
470	12682	6947
471	12711	6921
472	12735	6892
473	12765	6867
474	12793	6840
475	12820	6813
476	12845	6786
477	12870	6758
478	12898	6732
479	12927	6706
480	12952	6678
481	12979	6651
482	13005	6623
483	13028	6595
484	13054	6567
485	13080	6540
486	13108	6514
487	13143	6490
488	13186	6471
489	13223	6449
490	13260	6427
491	13292	6403
492	13324	6378
493	13354	6352
494	13380	6325
495	13413	6301
496	13438	6273
497	13463	6245
498	13488	6217
499	13515	6190
500	13542	6162
501	13571	6136
502	13598	6109
503	13622	6081
504	13648	6053
505	13674	6026
506	13705	6001
507	13731	5973
508	13759	5946
509	13786	5920
510	13812	5892
511	13838	5865
512	13863	5837
513	13894	5811
514	13924	5786
515	13950	5758
516	13979	5732
517	14005	5704
518	14030	5677
519	14056	5649
520	14082	5622
521	14109	5595
522	14136	5567
523	14163	5540
524	14189	5513
525	14216	5486
526	14242	5459
527	14267	5431
528	14293	5404
529	14321	5377
530	14345	5349
531	14374	5322
532	14403	5296
533	14428	5268
534	14452	5240
535	14478	5213
536	14501	5185
537	14528	5157
538	14552	5129
539	14579	5102
540	14606	5075
541	14646	5053
542	14676	5027
543	14708	5002
544	14733	4974
545	14760	4947
546	14789	4920
547	14816	4893
548	14840	4865
549	14866	4838
550	14895	4812
551	14922	4784
552	14948	4757
553	14974	4730
554	14999	4702
555	15025	4675
556	15048	4646
557	15088	4623
558	15129	4601
559	15171	4578
560	15207	4554
561	15241	4529
562	15273	4503
563	15306	4477
564	15346	4454
565	15382	4429
566	15423	4406
567	15468	4384
568	15517	4363
569	15557	4339
570	15591	4314
571	15631	4290
572	15663	4264
573	15694	4238
574	15728	4212
575	15760	4186
576	15790	4159
577	15823	4133
578	15852	4106
579	15883	4080
580	15914	4053
581	15944	4027
582	15978	4001
583	16010	3975
584	16039	3948
585	16072	3922
586	16104	3895
587	16138	3870
588	16170	3843
589	16200	3816
590	16228	3789
591	16257	3762
592	16286	3735
593	16317	3708
594	16356	3683
595	16393	3658
596	16424	3631
597	16457	3605
598	16486	3578
599	16518	3551
600	16551	3525
601	16582	3498
602	16611	3471
603	16645	3444
604	16676	3417
605	16704	3390
606	16736	3363
607	16766	3336
608	16798	3310
609	16828	3282
610	16858	3255
611	16889	3228
612	16920	3201
613	16952	3175
614	16983	3148
615	17013	3121
616	17044	3094
617	17075	3067
618	17109	3040
619	17142	3013
620	17174	2986
621	17207	2960
622	17236	2932
623	17267	2905
624	17298	2878
625	17334	2852
626	17378	2827
627	17421	2801
628	17460	2775
629	17492	2748
630	17524	2721
631	17555	2694
632	17588	2667
633	17623	2640
634	17656	2613
635	17685	2586
636	17720	2559
637	17762	2533
638	17801	2507
639	17845	2481
640	17883	2455
641	17929	2429
642	17962	2402
643	17992	2374
644	18029	2348
645	18060	2320
646	18093	2293
647	18123	2265
648	18156	2238
649	18188	2210
650	18219	2182
651	18247	2155
652	18276	2127
653	18305	2099
654	18344	2072
655	18389	2046
656	18428	2019
657	18459	1991
658	18491	1964
659	18521	1936
660	18552	1908
661	18581	1880
662	18614	1852
663	18645	1825
664	18675	1797
665	18704	1769
666	18738	1741
667	18767	1713
668	18798	1685
669	18830	1658
670	18858	1630
671	18889	1602
672	18921	1574
673	18951	1546
674	18980	1518
675	19009	1490
676	19041	1462
677	19072	1434
678	19103	1406
679	19134	1378
680	19163	1350
681	19191	1322
682	19225	1294
683	19253	1266
684	19282	1238
685	19315	1210
686	19360	1183
687	19398	1155
688	19423	1127
689	19452	1099
690	19481	1071
691	19508	1043
692	19535	1014
693	19564	986
694	19592	958
695	19622	930
696	19655	902
697	19684	874
698	19712	846
699	19742	817
700	19772	789
701	19799	761
702	19825	733
703	19854	705
704	19880	676
705	19911	648
706	19938	620
707	19965	592
708	19996	564
709	20025	535
710	20077	508
711	20124	480
712	20169	452
713	20213	424
714	20249	396
715	20282	368
716	20316	340
717	20356	311
718	20398	283
719	20428	255
720	20456	226
721	20482	198
722	20510	170
723	20535	141
724	20561	113
725	20586	85
726	20617	56
727	20644	28
728	20669	0
