iter	Logloss
214	0.5061888384
215	0.5052288168
216	0.5045025838
217	0.5039757854
218	0.503352039
219	0.5027224017
220	0.5020999046
221	0.5017628248
222	0.5013815479
223	0.5006611855
224	0.500281091
225	0.4996286996
226	0.4988636104
227	0.4981423669
228	0.4973148983
229	0.4965121753
230	0.4960783529
231	0.4954107276
232	0.4947397652
233	0.4943574549
234	0.4938813528
235	0.4931447392
236	0.4926955383
237	0.4921090779
238	0.4912322468
239	0.4907984167
240	0.49009343
241	0.4893295064
242	0.4887017917
243	0.4884566448
244	0.4879010564
245	0.4875651195
246	0.4871009265
247	0.4863606089
248	0.485796464
249	0.4852808505
250	0.4846114518
251	0.4839729698
252	0.483096422
253	0.4824336485
254	0.4817796505
255	0.4809435195
256	0.4804699868
257	0.4797953031
258	0.4793949043
259	0.4783448905
260	0.4779179953
261	0.4776966293
262	0.47707506
263	0.4763574234
264	0.4756458786
265	0.4752305191
266	0.4745401913
267	0.4738356809
268	0.4731692368
269	0.472632118
270	0.4721678119
271	0.4714891406
272	0.4709239805
273	0.4705169852
274	0.4698244648
275	0.4689258468
276	0.4682524173
277	0.4676725782
278	0.4669635343
279	0.4664556819
280	0.465826935
281	0.4652542146
282	0.4646245097
283	0.4639155384
284	0.4634437811
285	0.4629238335
286	0.4621582073
287	0.4618305868
288	0.46096389
289	0.4603084808
290	0.4597714196
291	0.459035906
292	0.4584734638
293	0.4576863645
294	0.4569229927
295	0.4564775606
296	0.455787005
297	0.4552565176
298	0.4546618188
299	0.4538939331
300	0.4531208161
301	0.4525415615
302	0.4520702673
303	0.4514268741
304	0.4509522436
305	0.4502636865
306	0.4496759463
307	0.4491697269
308	0.4484573724
309	0.4478002548
310	0.4473009961
311	0.4465045487
312	0.4459845188
313	0.4453921013
314	0.4446187763
315	0.4441667312
316	0.4438062125
317	0.443280539
318	0.4426880752
319	0.4422409763
320	0.4416910954
321	0.4412974822
322	0.4409683464
323	0.4407188667
324	0.4400047339
325	0.4395283084
326	0.4389955084
327	0.4384278517
328	0.4375736038
329	0.4370186084
330	0.4365436541
331	0.4360826368
332	0.4355462062
333	0.4350220183
334	0.4343891957
335	0.4338001982
336	0.4331859875
337	0.432608749
338	0.4319889477
339	0.4312458248
340	0.4307341603
341	0.4300762651
342	0.4295834816
343	0.4291815494
344	0.4289185572
345	0.428393242
346	0.4279836781
347	0.4274972363
348	0.4266452542
349	0.4260745202
350	0.425577923
351	0.4250752523
352	0.4242382746
353	0.423733528
354	0.4230724773
355	0.4226700204
356	0.4221313825
357	0.4215979413
358	0.4212889841
359	0.4207787406
360	0.4200086922
361	0.4195581514
362	0.419158649
363	0.4187111558
364	0.4182575454
365	0.4174881608
366	0.4170912769
367	0.4163315844
368	0.415973476
369	0.4154320041
370	0.4149829587
371	0.4143799455
372	0.4140593871
373	0.4134988542
374	0.4129710027
375	0.4124731788
376	0.4119708337
377	0.4116532676
378	0.4112640558
379	0.4107772427
380	0.4102800977
381	0.4098514375
382	0.4093737587
383	0.408934236
384	0.4084449128
385	0.4080280561
386	0.4075162095
387	0.4070472146
388	0.4066679406
389	0.406020397
390	0.4056644815
391	0.4051292958
392	0.4046930868
393	0.4042059752
394	0.4037658291
395	0.4031440004
396	0.4025907187
397	0.402032746
398	0.4014548407
399	0.4011119571
400	0.4006553294
401	0.4002534188
402	0.3998600342
403	0.3992572748
404	0.398840299
405	0.3981359466
406	0.397515649
407	0.3970040084
408	0.3964407219
409	0.3961142271
410	0.3958107899
411	0.3952402535
412	0.3945615915
413	0.3940543116
414	0.3934303972
415	0.3929674934
416	0.3923628162
417	0.391808982
418	0.3915346726
419	0.390863738
420	0.3904872695
421	0.3900614201
422	0.3895852566
423	0.3890971587
424	0.3887679569
425	0.3879868483
426	0.38741306
427	0.3869115514
428	0.3864985228
429	0.3859636634
430	0.3853854263
431	0.3848176546
432	0.3844299754
433	0.3840603974
434	0.3833973215
435	0.3831782977
436	0.3828435027
437	0.3824117613
438	0.3816624913
439	0.3814691902
440	0.3810074817
441	0.3805846532
442	0.3802740154
443	0.3795804957
444	0.3791876749
445	0.3787509819
446	0.3784074401
447	0.3778415325
448	0.3774110314
449	0.3768691264
450	0.3765425235
451	0.3759395381
452	0.3755382524
453	0.3751485448
454	0.3748691595
455	0.3744652099
456	0.373897568
457	0.3736399902
458	0.3733435185
459	0.3732231522
460	0.3727110931
461	0.3722875343
462	0.3716817101
463	0.3712116709
464	0.3709198643
465	0.3705011879
466	0.3700839761
467	0.3695855384
468	0.3692211281
469	0.3686750754
470	0.3682845753
471	0.3677677837
472	0.3673752429
473	0.3667077334
474	0.3660865878
475	0.3657204252
476	0.3653269341
477	0.3649367159
478	0.3645384371
479	0.3641415746
480	0.36364657
481	0.3631113591
482	0.3625549034
483	0.3621181716
484	0.3617151058
485	0.3612938738
486	0.3609089191
487	0.3604420855
488	0.3601647467
489	0.3598233834
490	0.3594178136
491	0.358921315
492	0.3584830084
493	0.3580135071
494	0.3575577894
495	0.3570097114
496	0.3565986328
497	0.356254172
498	0.3559643844
499	0.3555721091
500	0.3550755194
501	0.3543083753
502	0.3538526825
503	0.3535890361
504	0.3529819581
505	0.3525221304
506	0.3518800948
507	0.351315035
508	0.3509589863
509	0.3507446603
510	0.3502679202
511	0.3499129645
512	0.3494285874
513	0.3490819557
514	0.3487887279
515	0.348379737
516	0.3479567909
517	0.3474738739
518	0.3470530541
519	0.3465866987
520	0.3463126637
521	0.3458316453
522	0.3454578245
523	0.3450636882
524	0.3446358867
525	0.3443613452
526	0.3438752886
527	0.3435872489
528	0.343076188
529	0.3426350921
530	0.3423984855
531	0.3419155455
532	0.3415245977
533	0.3410482419
534	0.3406816186
535	0.3401892444
536	0.339919907
537	0.3394593695
538	0.3390779896
539	0.3386341481
540	0.3381765849
541	0.3377609573
542	0.3372656708
543	0.3369487766
544	0.3365816562
545	0.3362248952
546	0.3356385941
547	0.3352544992
548	0.3350538927
549	0.3346810879
550	0.3341450995
551	0.3336532785
552	0.3332048731
553	0.332624333
554	0.3322259126
555	0.3319019557
556	0.3316850205
557	0.3313651212
558	0.3311706991
559	0.3308720657
560	0.3303836396
561	0.3299560843
562	0.3297240146
563	0.3292373046
564	0.3288550578
565	0.3283048065
566	0.3277473445
567	0.3273821756
568	0.3269464427
569	0.3265836137
570	0.326328612
571	0.3258685651
572	0.3253730927
573	0.3248737021
574	0.3246442471
575	0.3241756083
576	0.3237283485
577	0.323433578
578	0.3230836589
579	0.3227498909
580	0.3224769838
581	0.3220701122
582	0.3215299375
583	0.3213109386
584	0.3209752765
585	0.3205070232
586	0.3202406695
587	0.3198668812
588	0.3193629365
589	0.3190305509
590	0.3187451432
591	0.3184790737
592	0.318145229
593	0.3178199234
594	0.3176066487
595	0.3174478242
596	0.3171945736
597	0.3169584748
598	0.3165552989
599	0.3160278532
600	0.3157747957
601	0.3150777885
602	0.314747032
603	0.3143701635
604	0.3139635023
605	0.3137344105
606	0.3133762457
607	0.3130997864
608	0.3128374679
609	0.3125344836
610	0.3122255244
611	0.3118121847
612	0.3115828827
613	0.3113045997
614	0.310905956
615	0.3105234493
616	0.3101076433
617	0.3098880532
618	0.3094588285
619	0.3090326158
620	0.3086256471
621	0.3084269303
622	0.3080395339
623	0.3075472508
624	0.3071631617
625	0.3069063533
626	0.306644085
627	0.3063461752
628	0.305977991
629	0.3055406047
630	0.3050038557
631	0.3045336411
632	0.3040329241
633	0.303768337
634	0.3032531043
635	0.3029985224
636	0.3026898363
637	0.3024178699
638	0.3021273147
639	0.3016597769
640	0.3013111559
641	0.3010539629
642	0.3006787294
643	0.3004168221
644	0.3000466075
645	0.2997702405
646	0.2994701244
647	0.2992280657
648	0.2989050249
649	0.2986000906
650	0.2982296393
651	0.2979851547
652	0.2976451836
653	0.2974137379
654	0.2971729622
655	0.2968744723
656	0.2964624647
657	0.2962221354
658	0.2959388936
659	0.295462386
660	0.2951499253
661	0.2950196251
662	0.2946650626
663	0.2943797124
664	0.2941265751
665	0.2938095491
666	0.29356814
667	0.2933304053
668	0.2929403595
669	0.29266174
670	0.2924836626
671	0.2920053409
672	0.2915473883
673	0.2913067605
674	0.2909042708
675	0.2906623505
676	0.2903846207
677	0.2900884667
678	0.2896134333
679	0.2893686487
680	0.2888906488
681	0.2886408837
682	0.2883941338
683	0.2881138885
684	0.2879242647
685	0.2874413151
686	0.2872070996
687	0.2868477585
688	0.2866012795
689	0.2862959288
690	0.2859750618
691	0.2857436679
692	0.2856294406
693	0.2852170797
694	0.2847777682
695	0.2844405509
696	0.2840991841
697	0.2837710854
698	0.2834684601
699	0.2830877127
700	0.2828065456
701	0.2825376588
702	0.2822778993
703	0.2819732809
704	0.2818632137
705	0.2814038596
706	0.2810839876
707	0.2808256798
708	0.2805958245
709	0.2802702904
710	0.2798421094
711	0.2794854876
712	0.2791385335
713	0.2788671939
714	0.2784628761
715	0.2779915657
716	0.2776145698
717	0.2772301534
718	0.2769503254
719	0.2765892447
720	0.2763820126
721	0.2761762294
722	0.2758840485
723	0.2756715533
724	0.2754786573
725	0.2752608758
726	0.2749382895
727	0.2746891807
728	0.274511446
